55;87;61;77;37
45;71;45;65;35
75;75;79;79;73
115;115;111;111;99
39;53;47;53;35
35;35;35;35;31
45;47;49;51;31
37;37;37;37;23
61;67;61;67;41
61;63;53;59;43
57;73;51;67;41
45;69;39;55;31
45;69;49;67;33
75;79;83;89;57
33;43;33;41;29
73;75;69;73;57
33;55;27;43;27
55;77;51;79;43
69;83;73;83;53
39;39;35;35;33
103;109;101;103;89
39;53;31;53;29
53;81;59;81;37
51;51;57;57;45
57;61;61;65;51
63;63;59;61;45
59;61;45;51;43
57;61;51;55;37
41;43;41;41;25
65;83;65;73;57
41;47;41;41;35
39;43;35;39;25
47;47;57;57;39
65;65;57;57;51
23;27;21;27;17
29;47;35;61;23
51;51;51;51;43
45;59;55;65;43
21;27;19;27;19
33;51;33;53;27
29;29;23;23;23
37;37;45;51;35
43;71;61;77;39
33;35;33;33;27
47;47;43;43;35
37;55;47;49;33
65;69;71;71;59
25;25;25;25;25
41;47;39;45;35
81;81;71;71;67
51;51;51;51;35
31;31;27;29;27
57;59;57;59;49
69;77;65;69;53
35;41;27;33;25
41;57;51;61;39
47;49;39;41;33
69;77;59;77;41
37;53;45;53;31
49;53;51;51;45
51;71;51;61;43
45;45;53;53;37
47;57;57;65;43
51;51;53;53;35
69;69;63;63;55
35;35;37;37;31
29;29;29;29;27
49;69;53;67;35
47;53;55;57;39
69;75;65;67;55
59;63;57;61;43
63;65;67;69;47
33;33;37;37;27
21;25;23;27;21
47;53;49;53;39
35;45;33;39;27
71;93;71;93;53
45;45;39;39;37
53;63;57;63;45
63;63;63;63;53
87;95;89;97;77
75;75;69;69;63
65;71;57;63;53
41;55;45;57;33
27;31;27;27;23
27;43;29;41;25
59;69;55;71;43
25;37;29;41;25
55;81;59;77;49
21;25;25;27;21
55;69;69;73;45
13;17;17;21;11
45;53;45;55;35
43;65;47;69;43
35;43;39;43;31
49;49;49;49;41
59;89;55;85;49
37;39;39;43;33
37;47;37;43;33
31;31;33;33;21
65;69;69;71;61
31;31;29;29;23
51;55;61;63;47
41;41;43;43;37
49;59;51;55;43
55;77;57;63;43
43;61;45;61;37
51;51;45;45;39
55;57;47;49;45
51;59;51;59;41
71;71;65;65;47
51;73;57;71;39
35;41;39;41;31
33;55;37;47;33
63;63;55;55;47
65;65;69;69;55
25;47;29;53;23
29;37;25;33;23
35;35;29;29;25
31;41;31;41;27
29;31;27;33;21
59;71;57;67;47
59;69;65;75;49
31;51;39;53;31
51;51;47;47;33
57;57;51;51;39
73;79;67;71;59
47;47;49;49;37
49;65;55;67;49
37;55;51;63;33
43;67;41;71;27
59;75;69;71;43
85;85;95;95;69
67;75;61;71;49
57;59;61;61;53
39;43;33;53;27
57;59;51;55;43
71;85;67;79;49
47;51;51;55;47
37;69;39;69;29
47;47;49;49;37
29;29;33;33;23
51;55;53;53;43
33;37;33;37;27
75;75;75;75;57
49;53;47;51;41
33;33;33;33;23
45;75;43;67;37
35;37;33;41;27
33;35;31;33;27
35;41;37;45;23
45;45;55;59;37
63;79;67;77;55
45;53;45;47;35
63;67;63;63;59
55;85;57;95;41
31;31;35;37;31
55;69;53;75;43
45;55;47;55;39
67;67;69;69;57
35;35;39;39;33
53;57;57;59;45
17;17;23;23;17
33;35;31;33;29
31;33;33;35;27
37;39;33;35;31
43;43;43;43;33
47;47;45;45;35
25;27;23;31;21
51;51;51;51;39
47;55;57;59;39
37;39;39;39;29
31;67;37;75;27
45;69;45;69;43
69;69;65;65;59
73;73;79;79;69
59;71;67;69;53
57;57;55;55;47
27;27;23;23;23
69;71;63;63;49
51;61;55;65;41
51;51;53;53;37
71;73;79;79;59
45;57;57;61;41
47;61;55;67;39
35;43;31;31;29
33;33;31;31;27
47;59;51;59;41
37;39;41;51;35
41;63;49;57;29
47;55;53;61;37
27;51;25;47;23
31;41;31;41;23
69;81;67;77;57
29;37;37;43;23
59;71;67;75;49
49;49;53;53;37
45;57;55;65;39
51;71;57;65;37
39;49;43;47;31
57;61;59;65;45
63;69;59;63;51
29;31;21;23;21
33;35;33;33;29
45;55;49;59;35
47;51;51;51;37
59;59;51;51;45
31;39;29;35;25
35;59;35;51;29
41;41;37;37;29
67;75;79;79;55
37;41;37;45;35
59;69;65;69;49
63;63;47;49;45
53;73;57;75;39
43;43;43;43;35
25;29;33;39;25
43;43;47;47;39
21;21;21;21;19
41;41;45;45;39
31;31;29;29;27
23;23;31;39;23
